,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,zipcode,price,price_per_sqftlot,area_per_bhk
4004,3,3,2490,4904,2.0,2003,98029,634000.0,129.28221859706363,1634.6666666666667
4005,3,3,1820,4910,2.0,1993,98029,532000.0,108.35030549898167,1636.6666666666667
4006,5,3,3620,5500,2.0,2003,98029,856000.0,155.63636363636363,1100.0
4007,3,3,2040,7503,2.0,1987,98029,619000.0,82.5003332000533,2501.0
4008,3,3,1730,4924,2.0,1996,98029,480680.0,97.61982128350934,1641.3333333333333
4009,3,3,2170,5000,2.0,2003,98029,619500.0,123.9,1666.6666666666667
4010,3,3,2980,3730,2.0,2005,98029,670000.0,179.62466487935657,1243.3333333333333
4011,3,3,1700,3150,2.0,2005,98029,534500.0,169.68253968253967,1050.0
4012,4,3,2170,5764,2.0,1992,98029,560000.0,97.15475364330327,1441.0
4013,4,3,1780,4169,2.0,1994,98029,540000.0,129.52746461981292,1042.25
4014,4,3,2050,6360,2.0,1988,98029,530000.0,83.33333333333333,1590.0
4015,3,2,1260,3000,2.0,2003,98029,425000.0,141.66666666666666,1000.0
4017,2,2,1210,1040,2.0,2014,98029,357186.0,343.44807692307694,520.0
4018,5,3,2890,5110,2.0,2003,98029,825000.0,161.44814090019568,1022.0
4019,4,4,2850,2970,2.0,1999,98029,620000.0,208.75420875420875,742.5
4020,4,4,2710,2147,2.0,2007,98029,690000.0,321.3786679087098,536.75
4021,4,4,3780,20023,2.0,2001,98029,970000.0,48.44428906757229,5005.75
4022,3,3,2010,2386,2.0,2014,98029,479990.0,201.1693210393965,795.3333333333334
4023,3,3,2010,9725,2.0,1987,98029,490000.0,50.38560411311054,3241.6666666666665
4024,2,1,1050,2699,1.0,2005,98029,310000.0,114.85735457576881,1349.5
4025,3,3,1440,4394,1.0,1987,98029,515000.0,117.20527992717342,1464.6666666666667
4026,3,2,1640,3896,2.0,1994,98029,478000.0,122.68993839835728,1298.6666666666667
4028,4,2,1860,3766,2.0,1995,98029,535000.0,142.06054168879447,941.5
4029,4,3,2700,4004,2.0,2004,98029,723000.0,180.56943056943058,1001.0
4031,4,3,2940,4232,2.0,2004,98029,710000.0,167.76937618147448,1058.0
4032,3,3,1730,4408,2.0,1996,98029,445000.0,100.95281306715063,1469.3333333333333
4033,3,3,2170,5000,2.0,2003,98029,638000.0,127.6,1666.6666666666667
4034,3,3,2330,3995,2.0,2006,98029,660000.0,165.20650813516897,1331.6666666666667
4035,4,3,1950,6192,2.0,1992,98029,560000.0,90.43927648578811,1548.0
4036,4,3,2000,7376,2.0,1990,98029,602000.0,81.61605206073753,1844.0
4037,3,3,2820,8159,2.0,2004,98029,735000.0,90.08456918740042,2719.6666666666665
4038,2,2,1670,3507,1.0,2007,98029,539950.0,153.96350156829197,1753.5
4039,4,2,1990,5948,2.0,1991,98029,536000.0,90.11432414256893,1487.0
4040,4,3,2740,9959,2.0,1989,98029,648000.0,65.06677377246712,2489.75
4041,2,2,1210,1032,2.0,2014,98029,357562.0,346.4748062015504,516.0
4042,3,3,1810,4592,2.0,1992,98029,513000.0,111.71602787456446,1530.6666666666667
4044,4,3,3000,6222,2.0,2004,98029,705000.0,113.3076181292189,1555.5
4045,3,3,1870,3485,2.0,2001,98029,575000.0,164.99282639885223,1161.6666666666667
4046,4,3,2310,3866,2.0,2005,98029,600000.0,155.1991722710812,966.5
4047,4,3,2620,4400,2.0,2004,98029,742500.0,168.75,1100.0
4048,4,4,3010,6202,2.0,2005,98029,769000.0,123.99226056110932,1550.5
4049,4,3,2500,8540,2.0,1990,98029,639000.0,74.82435597189695,2135.0
4050,4,3,2940,14071,2.0,1986,98029,675000.0,47.97100419302111,3517.75
4051,4,3,3710,7491,2.0,2003,98029,846450.0,112.99559471365639,1872.75
4052,3,3,2060,4812,2.0,1990,98029,533000.0,110.76475477971738,1604.0
4053,3,3,1880,4499,2.0,1993,98029,529000.0,117.58168481884863,1499.6666666666667
4054,3,2,1610,5159,2.0,1985,98029,449950.0,87.21651482845513,1719.6666666666667
4055,3,3,2290,3475,2.0,2006,98029,653000.0,187.9136690647482,1158.3333333333333
4056,2,2,1670,4008,1.0,2005,98029,565000.0,140.9680638722555,2004.0
4057,4,3,2090,6906,2.0,1992,98029,601000.0,87.0257746886765,1726.5
4059,3,3,2070,10908,2.0,1986,98029,567000.0,51.98019801980198,3636.0
4060,4,3,2780,7985,2.0,1992,98029,717000.0,89.79336255479024,1996.25
4061,3,3,1810,4332,2.0,1992,98029,517500.0,119.45983379501385,1444.0
4062,3,3,1740,4960,2.0,1992,98029,477000.0,96.16935483870968,1653.3333333333333
4063,2,2,1140,2980,2.0,1988,98029,305000.0,102.3489932885906,1490.0
4064,4,4,4270,6002,2.0,2004,98029,1300000.0,216.5944685104965,1500.5
4065,4,3,2700,10160,2.0,1988,98029,674725.0,66.4099409448819,2540.0
4066,4,3,2400,7351,2.0,1990,98029,650000.0,88.42334376275336,1837.75
4067,2,2,1340,1635,2.0,2003,98029,376000.0,229.96941896024464,817.5
4068,3,3,1720,4006,2.0,1994,98029,535000.0,133.54967548676984,1335.3333333333333
4069,3,3,2440,10363,2.0,1988,98029,620000.0,59.82823506706552,3454.3333333333335
4070,3,3,1530,3840,2.0,1994,98029,449950.0,117.17447916666667,1280.0
4071,4,3,2130,9139,2.0,1988,98029,620000.0,67.84112047269942,2284.75
4072,3,3,2050,4976,2.0,1994,98029,535500.0,107.61655948553054,1658.6666666666667
4073,4,3,1990,8034,2.0,1989,98029,639000.0,79.53696788648244,2008.5
4074,3,3,1730,4065,2.0,1996,98029,435000.0,107.01107011070111,1355.0
4075,2,1,1050,3088,1.0,2005,98029,285000.0,92.29274611398964,1544.0
4076,4,3,3050,7238,2.0,1989,98029,635000.0,87.73141751865155,1809.5
4077,4,3,2680,9185,2.0,1989,98029,620000.0,67.50136091453457,2296.25
4078,5,3,3370,7313,2.0,1988,98029,690000.0,94.35252290441679,1462.6
4079,2,3,2290,3507,2.0,2005,98029,630000.0,179.64071856287424,1753.5
4080,2,2,1230,1107,2.0,2006,98029,360000.0,325.2032520325203,553.5
4081,4,3,2700,9122,2.0,1990,98029,652500.0,71.53036614777461,2280.5
4082,3,3,2030,6970,2.0,1991,98029,525000.0,75.32281205164993,2323.3333333333335
4084,3,3,1470,1741,2.0,2004,98029,454280.0,260.93049971280874,580.3333333333334
4085,3,3,2280,12498,2.0,1987,98029,560000.0,44.80716914706353,4166.0
4088,4,3,2280,7219,2.0,1987,98029,626100.0,86.72946391466962,1804.75
4089,3,3,2210,8622,2.0,1988,98029,590000.0,68.42959870099745,2874.0
4091,4,3,2180,5799,2.0,1993,98029,571500.0,98.55147439213657,1449.75
4092,3,2,1780,3665,2.0,2004,98029,499000.0,136.15279672578444,1221.6666666666667
4093,3,4,3310,5558,2.0,2005,98029,780000.0,140.33825116948543,1852.6666666666667
4095,3,3,2160,7584,2.0,1988,98029,555000.0,73.18037974683544,2528.0
4096,3,3,1760,3097,2.0,1992,98029,485000.0,156.6031643525993,1032.3333333333333
4097,4,3,3060,8167,2.0,2005,98029,753000.0,92.20031835435289,2041.75
4098,3,3,1930,4500,2.0,1990,98029,425000.0,94.44444444444444,1500.0
4099,3,3,1800,3933,2.0,1989,98029,517500.0,131.57894736842104,1311.0
4101,3,3,1690,1689,2.0,2014,98029,419990.0,248.66193013617524,563.0
4102,3,3,1740,3082,2.0,2000,98029,550000.0,178.45554834523037,1027.3333333333333
4104,4,3,3010,3120,2.5,2006,98029,728725.0,233.56570512820514,780.0
4105,4,3,2390,9638,2.0,1988,98029,645500.0,66.97447603237187,2409.5
4106,3,3,2420,8244,2.0,1988,98029,640000.0,77.63221737020864,2748.0
4107,4,3,2120,8448,2.0,1989,98029,690000.0,81.67613636363636,2112.0
4108,2,2,1210,1189,2.0,2014,98029,351358.0,295.50714886459207,594.5
4109,3,3,2060,7184,2.0,1987,98029,545000.0,75.8630289532294,2394.6666666666665
4110,3,3,2010,2212,2.0,2014,98029,472217.0,213.47965641952985,737.3333333333334
4111,4,3,2160,7000,2.0,1989,98029,653000.0,93.28571428571429,1750.0
4112,4,3,2080,8504,2.0,1991,98029,545000.0,64.08748824082785,2126.0
4113,4,3,2420,8056,1.0,1988,98029,550000.0,68.2720953326713,2014.0
4114,2,2,1700,2383,2.0,2005,98029,472500.0,198.27947964750314,1191.5
4115,3,3,1920,3867,2.0,2005,98029,571000.0,147.65968450995604,1289.0
4116,4,3,3700,7051,2.0,2006,98029,950000.0,134.73266203375408,1762.75
4117,3,2,1860,5146,2.0,1991,98029,477500.0,92.79051690633501,1715.3333333333333
4118,4,3,2010,7972,2.0,1989,98029,590000.0,74.00903161063724,1993.0
4119,5,4,3920,5823,2.0,2000,98029,827500.0,142.10887858492185,1164.6
4120,3,3,1740,5782,2.0,1989,98029,496700.0,85.90453130404704,1927.3333333333333
4121,4,3,1980,4500,2.0,1989,98029,545800.0,121.28888888888889,1125.0
4122,3,3,3760,5260,2.0,2002,98029,825000.0,156.84410646387832,1753.3333333333333
4124,3,3,1770,1863,2.0,2003,98029,450000.0,241.54589371980677,621.0
4125,4,3,2120,3720,2.0,2004,98029,615000.0,165.32258064516128,930.0
4126,3,3,2080,7749,2.0,1988,98029,550000.0,70.97690024519292,2583.0
4127,5,5,5840,17168,2.0,2006,98029,2200000.0,128.14538676607643,3433.6
4128,4,3,3440,7661,2.0,2006,98029,905000.0,118.13079232476179,1915.25
4129,3,2,1470,4322,2.0,1985,98029,491500.0,113.72049976862564,1440.6666666666667
4130,4,3,2440,7491,2.0,1988,98029,700000.0,93.4454678948071,1872.75
4131,3,3,1910,5600,2.0,1989,98029,498688.0,89.05142857142857,1866.6666666666667
4132,4,3,3730,11820,2.0,1990,98029,690000.0,58.3756345177665,2955.0
4133,3,3,1880,4668,2.0,1993,98029,509950.0,109.24378748928878,1556.0
4134,3,3,2140,3821,2.0,2005,98029,420000.0,109.91886940591468,1273.6666666666667
4135,4,3,2030,3974,2.0,1994,98029,544000.0,136.8897835933568,993.5
4136,4,3,3560,6187,2.0,2003,98029,770000.0,124.45450137384839,1546.75
4137,3,3,1580,6065,2.0,1985,98029,485000.0,79.96702390766694,2021.6666666666667
4138,3,3,1600,2375,2.0,2005,98029,435000.0,183.1578947368421,791.6666666666666
4139,4,3,2670,13463,2.0,1989,98029,690000.0,51.25157840005942,3365.75
4140,4,3,2290,6738,2.0,1996,98029,570000.0,84.59483526268923,1684.5
4141,3,3,1970,6634,2.0,1989,98029,535000.0,80.64516129032258,2211.3333333333335
4142,4,3,2040,5508,2.0,1996,98029,575000.0,104.39360929557007,1377.0
4143,3,3,2060,10839,2.0,1987,98029,585000.0,53.971768613340714,3613.0
4144,3,2,1610,4364,2.0,1996,98029,450000.0,103.11640696608616,1454.6666666666667
4145,3,3,2010,2778,2.0,2014,98029,462608.0,166.52555795536358,926.0
4146,3,3,1890,5929,2.0,1993,98029,510000.0,86.01787822567043,1976.3333333333333
4147,4,3,2660,5043,2.0,2003,98029,765000.0,151.69541939321832,1260.75
4148,4,3,2960,4750,2.0,2005,98029,785000.0,165.26315789473685,1187.5
4150,4,3,2770,10274,2.0,1989,98029,675750.0,65.77282460580105,2568.5
4151,4,3,2490,7694,2.0,1987,98029,700000.0,90.97998440343125,1923.5
4152,3,3,1770,5146,2.0,1992,98029,464000.0,90.16712009327632,1715.3333333333333
4153,4,3,2290,6318,2.0,1988,98029,599950.0,94.95884773662551,1579.5
4154,3,3,2080,2625,2.0,2006,98029,550000.0,209.52380952380952,875.0
4155,4,3,2650,9990,2.0,1990,98029,695000.0,69.56956956956957,2497.5
4156,4,3,2390,6979,2.0,1993,98029,625000.0,89.55437741796818,1744.75
4157,4,3,2120,3640,2.0,2005,98029,599000.0,164.56043956043956,910.0
4158,3,3,1780,4000,2.0,1995,98029,459000.0,114.75,1333.3333333333333
4159,4,3,2640,6738,2.0,1989,98029,599000.0,88.89878302166815,1684.5
4161,3,3,2370,4950,2.0,2003,98029,685000.0,138.3838383838384,1650.0
4162,5,4,2980,5809,2.0,2005,98029,750000.0,129.1100017214667,1161.8
4163,5,5,4130,10404,2.0,2004,98029,998000.0,95.92464436755094,2080.8
4164,3,3,2010,2261,2.0,2014,98029,550000.0,243.25519681556833,753.6666666666666
4165,3,3,1800,7318,2.0,1989,98029,495000.0,67.6414320852692,2439.3333333333335
4166,4,3,3120,8792,2.0,1992,98029,760000.0,86.44222020018198,2198.0
4167,3,3,1610,4611,2.0,1996,98029,505000.0,109.52071134244198,1537.0
4168,3,3,3310,5000,2.0,2006,98029,770000.0,154.0,1666.6666666666667
4169,3,2,1990,8501,2.0,1991,98029,564800.0,66.43924244206563,2833.6666666666665
4170,4,4,4320,8490,2.0,2005,98029,1040000.0,122.49705535924618,2122.5
4171,4,3,2690,25000,1.0,1978,98029,563750.0,22.55,6250.0
4172,3,3,1710,2381,2.0,2003,98029,470000.0,197.39605207895843,793.6666666666666
4173,4,3,1950,3720,2.0,2004,98029,585000.0,157.25806451612902,930.0
4174,3,3,1480,1961,2.0,2005,98029,450000.0,229.47475777664457,653.6666666666666
4175,2,3,1830,2856,2.0,2005,98029,524950.0,183.8060224089636,1428.0
4176,4,3,2330,3917,2.0,2004,98029,645000.0,164.66683686494767,979.25
4177,4,3,2630,6247,2.0,1992,98029,575000.0,92.04418120697935,1561.75
4178,3,2,1710,4140,2.0,2004,98029,561000.0,135.5072463768116,1380.0
4179,3,2,1470,5597,2.0,1985,98029,468000.0,83.6162229765946,1865.6666666666667
4180,3,3,2110,3870,2.0,2004,98029,590000.0,152.45478036175712,1290.0
4181,3,3,1470,1445,2.0,2005,98029,420000.0,290.65743944636677,481.6666666666667
4182,4,4,4390,13833,2.0,2003,98029,1050000.0,75.90544350466276,3458.25
4183,3,3,1640,7847,2.0,1987,98029,480000.0,61.16987383713521,2615.6666666666665
4184,2,2,1210,1161,2.0,2014,98029,395000.0,340.2239448751077,580.5
4185,4,3,2430,8509,2.0,1992,98029,658100.0,77.34163826536609,2127.25
4186,4,4,3060,4777,2.0,2007,98029,740000.0,154.90893866443375,1194.25
4187,2,3,1500,3608,2.0,2005,98029,418000.0,115.85365853658537,1804.0
4188,4,3,2870,12648,2.0,1986,98029,720000.0,56.92599620493359,3162.0
4189,3,2,1710,4561,2.0,1994,98029,500000.0,109.62508221881167,1520.3333333333333
4190,4,3,2560,8780,2.0,1992,98029,642000.0,73.12072892938497,2195.0
4191,3,2,1760,4539,2.0,1988,98029,500000.0,110.15642211940956,1513.0
4192,3,3,2350,7035,2.0,1989,98029,613500.0,87.20682302771856,2345.0
4194,3,3,2120,6602,2.0,1989,98029,578550.0,87.63253559527416,2200.6666666666665
4196,4,3,2320,4468,2.0,1999,98029,637500.0,142.6812891674127,1117.0
4197,3,2,1470,1703,2.0,2005,98029,430000.0,252.4955960070464,567.6666666666666
4199,3,3,1790,4038,2.0,2005,98029,541000.0,133.97721644378404,1346.0
4200,3,2,1580,4379,2.0,1994,98029,500000.0,114.18131993605846,1459.6666666666667
4201,3,3,1910,5562,2.0,1988,98029,496600.0,89.28443006112909,1854.0
4202,4,3,2550,10623,2.0,1992,98029,612500.0,57.657912077567545,2655.75
4203,3,3,2360,12164,2.0,1987,98029,625000.0,51.3811246300559,4054.6666666666665
4204,3,2,1330,5632,1.0,1988,98029,424000.0,75.2840909090909,1877.3333333333333
4205,4,3,2110,6360,2.0,1988,98029,610000.0,95.9119496855346,1590.0
4206,4,3,2770,9532,2.0,1988,98029,711000.0,74.59085186739404,2383.0
4207,4,4,2980,2147,2.5,2006,98029,690000.0,321.3786679087098,536.75
4209,4,3,2960,10760,2.0,1987,98029,695000.0,64.59107806691449,2690.0
4210,3,3,1630,7586,2.0,1986,98029,475000.0,62.61534405483786,2528.6666666666665
4211,3,3,2510,4106,2.0,2003,98029,699950.0,170.47004383828545,1368.6666666666667
4212,3,2,1850,10855,1.0,1985,98029,520000.0,47.90419161676647,3618.3333333333335
4213,3,3,2120,7401,2.0,1989,98029,612000.0,82.69152817186867,2467.0
4214,4,3,2520,5000,2.0,2004,98029,680000.0,136.0,1250.0
4215,3,3,2180,7169,2.0,1990,98029,560000.0,78.11410238526992,2389.6666666666665
4216,3,3,1480,1386,3.0,2005,98029,425000.0,306.63780663780665,462.0
4218,3,2,1440,4667,2.0,1985,98029,447000.0,95.77887293764731,1555.6666666666667
4219,4,3,2070,5415,2.0,1996,98029,578000.0,106.74053554939981,1353.75
4221,3,3,2950,6667,2.0,2003,98029,739000.0,110.84445777711115,2222.3333333333335
4223,4,3,2540,5760,2.0,2009,98029,759990.0,131.94270833333334,1440.0
4224,4,4,3040,4006,2.0,2013,98029,815000.0,203.4448327508737,1001.5
4226,2,3,1590,1679,2.0,2012,98029,395825.0,235.75044669446098,839.5
4227,4,3,3040,4155,2.0,2013,98029,825000.0,198.55595667870037,1038.75
4228,4,4,3290,8059,2.0,2012,98029,801000.0,99.39198411713612,2014.75
4229,4,3,2050,2772,2.0,2013,98029,689500.0,248.73737373737373,693.0
4230,3,3,2350,4975,2.0,2012,98029,700000.0,140.7035175879397,1658.3333333333333
4231,4,3,2050,2772,2.0,2012,98029,639888.0,230.83982683982683,693.0
4232,2,2,1620,1841,2.0,2004,98029,395000.0,214.55730581205867,920.5
4233,4,4,3860,5474,2.5,2007,98029,1051000.0,191.99853854585314,1368.5
4234,3,3,2460,3600,2.0,2007,98029,790000.0,219.44444444444446,1200.0
4235,3,3,1910,4363,2.0,2006,98029,650000.0,148.98005959202385,1454.3333333333333
4236,4,3,3020,3600,2.5,2009,98029,805000.0,223.61111111111111,900.0
4237,3,3,1910,2091,2.0,2014,98029,494815.0,236.64036346245814,697.0
4238,3,3,2830,3496,2.0,2012,98029,673000.0,192.50572082379864,1165.3333333333333
4239,4,3,2620,6114,2.0,2011,98029,675000.0,110.40235525024534,1528.5
4240,4,3,3670,7680,2.5,2007,98029,950000.0,123.69791666666667,1920.0
4241,3,2,1630,2520,2.0,2005,98029,475000.0,188.4920634920635,840.0
4242,4,4,3880,9979,2.5,2007,98029,1060000.0,106.22306844373183,2494.75
4244,4,3,2330,3920,2.0,2005,98029,680000.0,173.46938775510205,980.0
4245,4,4,3200,3250,2.0,2007,98029,795000.0,244.6153846153846,812.5
4246,4,3,2580,5787,2.0,2007,98029,775000.0,133.9208570934854,1446.75
4247,2,3,1590,1426,2.0,2014,98029,419190.0,293.96213183730714,713.0
4248,4,4,3370,3634,2.0,2007,98029,812000.0,223.44523940561365,908.5
4249,3,3,2350,3798,2.0,2013,98029,740000.0,194.83938915218536,1266.0
4250,4,2,1890,3615,2.0,2005,98029,535000.0,147.99446749654217,903.75
4251,4,3,3740,11467,2.0,2014,98029,1139990.0,99.41484259178512,2866.75
4252,3,2,1260,2556,2.0,2005,98029,449500.0,175.86071987480437,852.0
4253,3,3,1910,5125,2.0,2006,98029,663000.0,129.3658536585366,1708.3333333333333
4254,4,3,2930,25020,2.0,2013,98029,1050000.0,41.96642685851319,6255.0
4255,4,3,2870,5118,2.0,2006,98029,725000.0,141.6568972254787,1279.5
4256,3,3,1710,1960,2.0,2004,98029,445000.0,227.0408163265306,653.3333333333334
4257,3,2,1630,3817,2.0,2005,98029,497000.0,130.20696882368352,1272.3333333333333
4258,3,3,2470,3600,2.0,2007,98029,773000.0,214.72222222222223,1200.0
4260,4,4,3910,8095,2.0,2007,98029,782000.0,96.60284126003705,2023.75
4261,4,4,3060,4573,2.0,2012,98029,775000.0,169.4729936584299,1143.25
4263,2,2,1070,9643,1.0,1985,98030,252700.0,26.205537695737842,4821.5
4264,3,2,2450,6500,2.0,1985,98030,329000.0,50.61538461538461,2166.6666666666665
4265,3,3,1670,5797,2.0,1988,98030,260000.0,44.850784888735554,1932.3333333333333
4266,3,2,2220,16020,1.0,1966,98030,325000.0,20.287141073657928,5340.0
4267,3,3,1730,7442,2.0,1987,98030,245000.0,32.92125772641763,2480.6666666666665
4268,4,3,2720,8666,2.0,1992,98030,370000.0,42.69559196861297,2166.5
4270,3,2,1410,5760,1.0,1985,98030,245000.0,42.53472222222222,1920.0
4271,4,3,2156,3562,2.0,2012,98030,347500.0,97.55755193711398,890.5
4272,4,3,2210,17715,2.0,1997,98030,360000.0,20.321761219305674,4428.75
4273,2,2,1130,5500,1.0,1941,98030,250000.0,45.45454545454545,2750.0
4274,4,3,1930,6228,2.0,2000,98030,321500.0,51.62170841361593,1557.0
4275,3,2,1490,6930,1.0,1990,98030,245000.0,35.35353535353536,2310.0
4276,4,3,2540,12843,2.0,1992,98030,350900.0,27.322276726621507,3210.75
4277,3,2,1800,7763,1.0,1984,98030,270000.0,34.780368414272836,2587.6666666666665
4278,3,3,2200,7201,2.0,1994,98030,302495.0,42.007360088876545,2400.3333333333335
4279,4,3,2963,5797,2.0,2006,98030,325000.0,56.06348111091944,1449.25
4280,3,2,1600,9072,1.0,1963,98030,267500.0,29.4863315696649,3024.0
4281,3,3,1981,5700,2.0,2010,98030,303700.0,53.280701754385966,1900.0
4282,4,3,2060,5950,2.0,2000,98030,292000.0,49.075630252100844,1487.5
4283,3,2,1470,11599,1.0,1967,98030,264950.0,22.842486421243212,3866.3333333333335
4285,3,2,1760,6600,1.0,1998,98030,290000.0,43.93939393939394,2200.0
4287,4,2,1830,8734,2.0,1991,98030,285000.0,32.6310968628349,2183.5
4288,3,2,1490,8000,1.0,1978,98030,275000.0,34.375,2666.6666666666665
4289,3,3,1650,6000,2.0,1990,98030,280000.0,46.666666666666664,2000.0
4291,3,3,1800,8518,2.0,1996,98030,325000.0,38.15449636064804,2839.3333333333335
4292,4,3,2300,6448,2.0,2001,98030,342000.0,53.03970223325062,1612.0
4294,3,2,1870,5909,1.0,1986,98030,259000.0,43.83144356067017,1969.6666666666667
4295,4,3,1850,6037,2.0,1991,98030,278000.0,46.04936226602617,1509.25
4296,5,3,2440,6858,2.0,2003,98030,340000.0,49.57713619130942,1371.6
4297,3,3,1780,7214,1.0,1986,98030,266000.0,36.872747435542,2404.6666666666665
4298,3,3,1730,5799,2.0,1987,98030,275000.0,47.42196930505259,1933.0
4299,4,3,1970,6600,2.0,1987,98030,274900.0,41.65151515151515,1650.0
4300,4,3,2170,9658,1.5,1966,98030,275436.0,28.518948022364878,2414.5
4301,4,3,1850,6663,2.0,1990,98030,295000.0,44.274350892991144,1665.75
4302,3,2,1440,9806,1.0,1965,98030,253000.0,25.800530287579033,3268.6666666666665
4303,3,1,1200,9322,1.5,1954,98030,280000.0,30.03647285990131,3107.3333333333335
4305,3,2,1340,6783,1.0,1987,98030,265000.0,39.068258882500366,2261.0
4306,4,3,2506,6232,2.0,2006,98030,365070.0,58.579910141206675,1558.0
4307,4,3,2154,6050,2.0,2012,98030,335000.0,55.37190082644628,1512.5
4308,5,2,3290,8000,1.0,1968,98030,329500.0,41.1875,1600.0
4310,4,3,3050,32450,1.0,1983,98030,465000.0,14.329738058551618,8112.5
4315,4,3,2483,6870,2.0,2005,98030,360000.0,52.40174672489083,1717.5
4316,3,3,2410,17424,1.0,1978,98030,330000.0,18.939393939393938,5808.0
4318,3,2,2060,7251,1.0,1987,98030,290000.0,39.99448351951455,2417.0
4319,3,3,2430,15264,2.0,1997,98030,362300.0,23.735587002096437,5088.0
4320,3,3,1710,10341,2.0,1986,98030,287000.0,27.753602166134804,3447.0
4321,4,3,2120,6754,2.0,1998,98030,275000.0,40.71661237785016,1688.5
4322,3,2,1390,7120,1.0,1988,98030,259000.0,36.37640449438202,2373.3333333333335
4323,3,2,1678,13862,1.0,1994,98030,353000.0,25.46530082239215,4620.666666666667
4324,3,2,1910,8050,1.0,1980,98030,275000.0,34.161490683229815,2683.3333333333335
4325,3,2,1430,7280,1.0,1980,98030,250000.0,34.34065934065934,2426.6666666666665
4327,3,2,1360,9625,1.0,1963,98030,244000.0,25.350649350649352,3208.3333333333335
4328,3,3,1940,8547,1.0,1989,98030,266000.0,31.12203112203112,2849.0
4329,3,2,2350,12720,1.0,1964,98030,245000.0,19.261006289308177,4240.0
4330,3,2,1840,9697,1.0,1985,98030,235000.0,24.234299267814787,3232.3333333333335
4332,3,2,1350,7827,1.0,1968,98030,259950.0,33.211958604829434,2609.0
4333,5,3,2980,9838,1.0,1968,98030,352000.0,35.7796300060988,1967.6
4334,3,2,1250,7500,1.0,1967,98030,225000.0,30.0,2500.0
4335,4,3,2390,6111,2.0,1997,98030,338500.0,55.39191621665849,1527.75
4336,3,3,1300,14197,1.0,1996,98030,245000.0,17.25716700711418,4732.333333333333
4337,4,3,2200,7719,2.0,2000,98030,325000.0,42.10389946884312,1929.75
4339,3,2,1670,7757,1.0,1992,98030,289950.0,37.37914142065232,2585.6666666666665
4340,3,3,1650,5994,2.0,1989,98030,273000.0,45.545545545545544,1998.0
4342,3,3,1610,7223,2.0,1994,98030,245000.0,33.91942406202409,2407.6666666666665
4343,4,2,2330,6250,1.0,1941,98030,344950.0,55.192,1562.5
4344,3,2,1650,7807,1.0,1986,98030,267500.0,34.26412194184706,2602.3333333333335
4347,3,2,1440,10920,1.0,1977,98030,267000.0,24.45054945054945,3640.0
4348,3,2,1660,7003,2.0,1996,98030,269950.0,38.54776524346708,2334.3333333333335
4350,3,2,1290,7952,1.0,1998,98030,237000.0,29.803822937625753,2650.6666666666665
4353,4,3,2160,8755,2.0,1993,98030,312500.0,35.6938892061679,2188.75
4354,3,2,1690,7953,1.0,1986,98030,259900.0,32.6794920155916,2651.0
4355,4,3,2700,10814,1.0,1966,98030,300000.0,27.74181616423155,2703.5
4356,3,2,1070,8886,1.0,1984,98030,240000.0,27.00877785280216,2962.0
4360,4,3,2110,6295,2.0,2000,98030,320000.0,50.833995234312944,1573.75
4362,2,1,800,7150,1.0,1933,98030,175000.0,24.475524475524477,3575.0
4363,4,2,2220,8229,1.5,1958,98030,275000.0,33.4183983473083,2057.25
4366,3,3,1540,7739,2.0,1986,98030,270000.0,34.88822845328854,2579.6666666666665
4368,3,2,1490,8722,2.0,1997,98030,230000.0,26.370098601238247,2907.3333333333335
4369,3,2,2090,7461,1.0,1986,98030,258000.0,34.57981503819863,2487.0
4370,2,1,1240,11393,1.0,1960,98030,226800.0,19.906960414289475,5696.5
4373,3,1,1010,11880,1.0,1960,98030,255000.0,21.464646464646464,3960.0
4374,5,3,2450,6994,2.0,2002,98030,345000.0,49.3279954246497,1398.8
4375,3,2,1760,6092,1.0,1998,98030,295000.0,48.424162836506895,2030.6666666666667
4376,2,2,1560,7575,1.0,2002,98030,290000.0,38.28382838283829,3787.5
4377,3,3,1590,8449,2.0,1989,98030,225000.0,26.63037045804237,2816.3333333333335
4378,4,3,2380,6124,2.0,1997,98030,350000.0,57.152188112344874,1531.0
4380,4,2,2250,13515,1.0,1940,98030,350000.0,25.897151313355533,3378.75
4381,3,3,1400,7629,1.0,1988,98030,267500.0,35.063573207497704,2543.0
4382,4,4,4480,5715,2.0,2003,98030,490000.0,85.7392825896763,1428.75
4383,4,3,1982,6406,2.0,2004,98030,283200.0,44.20855448017483,1601.5
4385,3,2,1660,8000,1.0,1976,98030,241000.0,30.125,2666.6666666666665
4387,3,3,2430,5715,2.0,1999,98030,342000.0,59.84251968503937,1905.0
4388,3,2,1840,17286,1.0,1978,98030,325000.0,18.80134212657642,5762.0
4389,4,3,2060,5742,2.0,1999,98030,275000.0,47.89272030651341,1435.5
4391,3,2,2310,11200,1.0,1978,98030,385000.0,34.375,3733.3333333333335
4392,3,2,1470,12096,1.0,1942,98030,250000.0,20.667989417989418,4032.0
4393,4,3,2260,6086,2.0,1999,98030,339950.0,55.85770621097601,1521.5
4395,3,2,1700,7532,1.0,1987,98030,255000.0,33.85554965480616,2510.6666666666665
4396,4,2,1890,6302,2.0,1997,98030,282000.0,44.74769914312917,1575.5
